,x,y
504,21.984,-48.73
505,20.954,-15.791
506,15.332,-4.09
507,15.538,-4.592
508,20.945,-5.306
509,17.774,-23.87
510,22.257,-2.858
511,22.239,-2.985
512,15.338,-4.129
513,15.642,-4.731
514,20.974,-4.99
515,15.748,-4.855
516,15.547,-4.612
517,22.262,-2.926
518,15.351,-4.318
519,15.641,-4.737
520,20.92,-5.217
521,15.713,-4.878
522,18.722,-22.502
523,15.333,-4.154
524,22.226,-2.97
525,20.989,-5.277
526,15.804,-5.023
527,15.358,-4.504
528,21.014,-5.336
529,21.132,-4.913
530,22.23,-2.871
531,16.229,-22.216
532,15.865,-5.273
533,15.824,-5.119
534,21.042,-5.455
535,15.187,-6.702
536,21.011,-5.12
537,15.882,-5.449
538,15.864,-5.324
539,21.036,-5.257
540,15.169,-6.676
541,20.994,-5.268
542,15.867,-5.538
543,21.042,-5.463
544,15.172,-6.702
545,20.996,-5.745
546,21.519,-9.073
547,20.985,-5.427
548,15.873,-5.415
549,21.14,-15.897
550,21.506,-8.359
551,21.064,-6.629
552,21.516,-7.794
553,15.774,-5.687
554,21.029,-5.835
555,15.148,-6.661
556,20.99,-5.943
557,15.583,-5.965
558,21.038,-6.383
559,15.153,-6.675
560,20.993,-6.417
561,15.067,-18.238
562,15.15,-6.737
563,21.034,-6.847
564,20.995,-6.858
565,21.038,-7.607
566,18.759,-24.968
567,21.04,-7.177
568,14.964,-7.152
569,21.035,-7.218
570,19.142,-25.473
571,15.131,-6.722
572,14.991,-10.269
573,14.894,-7.429
574,21.031,-7.704
575,14.958,-7.109
576,21.04,-7.3
577,21.474,-8.24
578,20.997,-7.333
579,21.428,-9.721
580,14.886,-7.865
581,21.04,-7.773
582,21.439,-8.222
583,20.994,-7.741
584,14.856,-10.172
585,14.461,-18.144
586,20.692,-16.14
587,14.873,-8.253
588,21.421,-8.555
589,19.135,-25.849
590,14.84,-8.761
591,21.413,-8.908
592,14.811,-10.2
593,14.426,-18.151
594,14.84,-9.148
595,21.41,-9.169
596,14.863,-10.249
597,14.719,-18.219
598,16.275,-17.864
599,14.854,-9.384
600,21.415,-9.534
601,14.893,-10.237
602,14.684,-18.239
603,16.981,-17.253
604,20.821,-16.143
605,14.846,-9.711
606,21.401,-9.871
607,14.892,-10.239
608,14.59,-18.182
609,17.105,-16.359
610,20.789,-16.163
611,14.888,-10.422
612,21.392,-10.361
613,14.606,-18.212
614,17.848,-15.753
615,20.838,-16.152
616,14.88,-10.678
617,21.383,-10.783
618,14.671,-18.237
619,17.954,-15.013
620,20.787,-16.169
621,14.879,-11.057
622,21.376,-11.22
623,14.675,-18.242
624,18.058,-14.592
625,20.883,-16.142
626,18.362,-14.205
627,21.414,-10.39
628,14.861,-11.086
629,21.336,-11.852
630,14.413,-18.155
631,18.52,-13.415
632,18.302,-13.617
633,21.413,-10.956
634,14.879,-11.035
635,17.906,-25.442
636,21.372,-11.412
637,14.708,-14.167
638,14.753,-11.776
639,21.312,-12.287
640,14.399,-18.123
641,18.492,-13.083
642,17.403,-25.475
643,18.669,-12.569
644,14.754,-12.068
645,18.621,-12.31
646,14.385,-18.134
647,20.657,-16.301
648,14.105,-22.088
649,14.688,-14.202
650,14.838,-14.543
651,18.795,-25.604
652,21.254,-13.006
653,14.228,-18.048
654,20.494,-16.352
655,13.89,-22.003
656,14.781,-14.517
657,16.176,-23.683
658,14.622,-14.096
659,20.552,-16.362
660,21.259,-13.19
661,14.462,-18.143
662,20.599,-16.239
663,14.149,-22.11
664,14.863,-14.609
665,20.616,-16.294
666,21.204,-14.215
667,14.638,-14.122
668,14.658,-13.002
669,21.267,-13.418
670,14.569,-18.231
671,20.598,-16.239
672,14.868,-14.609
673,20.703,-16.263
674,14.691,-13.252
675,14.73,-14.239
676,12.697,-17.613
677,19.181,-25.554
678,21.26,-13.768
679,14.414,-18.129
680,14.905,-14.657
681,14.633,-13.856
682,14.712,-14.203
683,21.24,-13.836
684,21.223,-14.157
685,14.497,-18.15
686,14.898,-14.648
687,14.735,-14.233
688,21.233,-14.178
689,20.693,-16.295
690,14.661,-13.93
691,21.214,-14.443
692,14.57,-18.242
693,14.897,-14.716
694,20.735,-16.369
695,14.887,-14.691
696,6.608,-17.992
697,20.666,-16.158
698,21.218,-14.878
699,12.841,-17.792
700,14.37,-22.198
701,21.212,-14.846
702,14.613,-18.283
703,14.723,-14.994
704,20.747,-16.335
705,6.636,-18.167
706,21.215,-15.163
707,20.675,-16.308
708,14.884,-14.732
709,14.575,-18.278
710,16.805,-23.754
711,21.208,-15.306
712,14.705,-18.351
713,14.715,-15.219
714,20.824,-16.102
715,6.727,-18.426
716,20.745,-16.071
717,17.039,-23.79
718,11.847,-15.783
719,14.685,-22.333
720,-1.259,-19.035
721,17.941,-25.316
722,21.219,-15.155
723,20.713,-16.195
724,14.675,-18.354
725,20.767,-16.641
726,6.723,-18.28
727,17.122,-23.807
728,11.845,-15.631
729,14.539,-22.273
730,-1.292,-18.493
731,20.78,-16.321
732,14.693,-18.355
733,20.702,-16.383
734,14.618,-18.287
735,20.753,-16.353
736,6.654,-18.106
737,16.748,-23.791
738,14.446,-22.258
739,15.695,-24.837
740,13.05,-18.063
741,29.607,-30.594
742,21.224,-15.523
743,30.945,-28.199
744,11.838,-15.578
745,20.682,-16.557
746,14.623,-18.316
747,20.745,-16.62
748,6.662,-18.333
749,16.792,-23.78
750,14.347,-22.192
751,10.237,-15.637
752,6.672,-18.213
753,19.755,-26.972
754,20.664,-17.109
755,14.56,-18.211
756,20.721,-17.149
757,16.317,-23.717
758,17.85,-25.464
759,14.482,-22.257
760,20.643,-17.643
761,16.866,-23.736
762,20.698,-16.814
763,31.881,-30.655
764,20.578,-18.008
765,14.549,-18.163
766,20.708,-17.394
767,14.324,-22.155
768,16.565,-23.728
769,20.638,-17.413
770,20.676,-17.839
771,15.57,-25.046
772,30.52,-28.905
773,18.038,-26.35
774,20.572,-18.051
775,14.55,-18.116
776,20.64,-18.021
777,14.145,-22.056
778,16.429,-23.721
779,31.774,-27.372
780,20.641,-18.044
781,20.56,-18.457
782,14.575,-18.2
783,14.216,-22.084
784,16.579,-23.737
785,30.299,-29.072
786,15.97,-23.762
787,18.492,-27.084
788,20.583,-18.786
789,14.579,-18.136
790,17.348,-25.428
791,20.556,-18.916
792,14.569,-18.285
793,14.243,-22.057
794,16.394,-23.73
795,30.769,-28.739
796,17.427,-25.409
797,32.017,-27.014
798,19.042,-27.088
799,28.717,-20.675
800,20.641,-18.661
801,14.569,-18.729
802,14.242,-22.145
803,16.444,-23.704
804,16.792,-23.708
805,31.941,-28.042
806,17.948,-25.393
807,11.705,-21.796
808,31.714,-27.762
809,32.652,-25.884
810,29.4,-30.522
811,14.571,-19.117
812,14.55,-22.289
813,16.56,-23.742
814,11.118,-22.114
815,31.211,-27.637
816,12.981,-22.157
817,32.683,-25.812
818,12.235,-22.088
819,6.531,-22.092
820,32.437,-40.714
821,14.557,-19.1
822,14.533,-22.25
823,29.66,-30.38
824,14.541,-22.281
825,16.78,-23.734
826,12.789,-22.265
827,14.555,-19.125
828,14.568,-22.267
829,16.714,-23.765
830,11.946,-22.239
831,14.563,-19.112
832,14.697,-22.64
833,12.83,-22.213
834,11.071,-22.196
835,16.026,-26.193
836,14.579,-19.107
837,14.564,-22.272
838,11.02,-22.104
839,11.952,-22.185
840,12.932,-19.52
841,16.745,-23.741
842,19.733,-26.901
843,15.029,-27.072
844,6.55,-22.044
845,-0.185,-21.839
846,14.611,-19.103
847,14.488,-22.227
848,11.833,-22.001
849,12.97,-19.462
850,16.676,-23.766
851,14.561,-19.135
852,15.717,-26.979
853,15.963,-26.196
854,16.296,-23.878
855,14.457,-19.149
856,14.441,-22.207
857,11.955,-22.047
858,12.93,-19.411
859,16.584,-23.741
860,14.8,-27.067
861,15.571,-26.984
862,5.456,-21.712
863,12.586,-22.076
864,16.007,-26.022
865,13.063,-22.117
866,14.385,-19.153
867,14.376,-22.268
868,12.88,-19.433
869,16.301,-23.837
870,6.46,-22.431
871,6.473,-18.909
872,12.665,-22.167
873,15.836,-26.061
