,x,y
367,-12.468,-42.15
368,-12.339,-42.206
369,-12.124,-42.211
370,-11.848,-42.172
371,-11.597,-42.184
372,-11.31,-42.222
373,-11.08,-42.242
374,-10.851,-42.305
375,-10.682,-42.346
376,-10.603,-42.365
377,-10.457,-42.404
378,-10.252,-42.458
379,-9.995,-42.517
380,-9.7,-42.569
381,-9.364,-42.602
382,-9.001,-42.624
383,-8.616,-42.637
384,-8.229,-42.646
385,-7.843,-42.644
386,-7.458,-42.632
387,-7.073,-42.606
388,-6.703,-42.574
389,-6.317,-42.548
390,-5.93,-42.53
391,-5.541,-42.508
392,-5.155,-42.476
393,-4.768,-42.441
394,-4.382,-42.407
395,-3.995,-42.375
396,-3.609,-42.355
397,-3.228,-42.352
398,-2.847,-42.359
399,-2.461,-42.371
400,-2.074,-42.393
401,-1.686,-42.409
402,-1.301,-42.428
403,-0.914,-42.466
404,-0.528,-42.51
405,-0.144,-42.562
406,0.241,-42.622
407,0.619,-42.689
408,1.005,-42.762
409,1.39,-42.842
410,1.774,-42.934
411,2.151,-43.027
412,2.532,-43.122
413,2.915,-43.22
414,3.298,-43.313
415,3.675,-43.39
416,4.061,-43.463
417,4.445,-43.538
418,4.832,-43.621
419,5.214,-43.7
420,5.595,-43.76
421,5.983,-43.818
422,6.373,-43.865
423,6.764,-43.899
424,7.154,-43.92
425,7.545,-43.934
426,7.936,-43.944
427,8.326,-43.957
428,8.716,-43.979
429,9.1,-44.002
430,9.492,-44.027
431,9.881,-44.05
432,10.279,-44.063
433,10.663,-44.071
434,11.053,-44.082
435,11.437,-44.097
436,11.819,-44.112
437,12.21,-44.131
438,12.601,-44.152
439,12.991,-44.177
440,13.381,-44.202
441,13.768,-44.232
442,14.156,-44.263
443,14.541,-44.294
444,14.928,-44.32
445,15.316,-44.334
446,15.695,-44.342
447,16.082,-44.346
448,16.477,-44.347
449,16.856,-44.345
450,17.242,-44.339
451,17.629,-44.323
452,18.016,-44.303
453,18.403,-44.282
454,18.791,-44.254
455,19.184,-44.216
456,19.539,-44.172
457,19.921,-44.111
458,20.3,-44.03
459,20.675,-43.934
460,21.049,-43.827
461,21.414,-43.701
462,21.775,-43.551
463,22.117,-43.405
464,22.448,-43.281
465,22.782,-43.21
466,23.171,-43.216
467,23.557,-43.223
468,23.944,-43.231
469,24.32,-43.245
470,24.693,-43.265
471,25.052,-43.281
472,25.399,-43.268
473,25.738,-43.202
474,26.085,-43.043
475,26.401,-42.833
476,26.69,-42.567
477,26.922,-42.251
478,27.102,-41.91
479,27.228,-41.54
480,27.28,-41.164
481,27.269,-40.763
482,27.247,-40.364
483,27.246,-39.964
484,27.262,-39.566
485,27.273,-39.166
486,27.283,-38.766
487,27.283,-38.368
488,27.27,-37.993
489,27.252,-37.604
490,27.239,-37.204
491,27.228,-36.806
492,27.232,-36.409
493,27.251,-36.011
494,27.272,-35.615
495,27.289,-35.218
496,27.295,-34.818
497,27.295,-34.422
498,27.294,-34.03
499,27.299,-33.642
500,27.303,-33.246
501,27.309,-32.851
502,27.314,-32.464
503,27.317,-32.068
504,27.316,-31.665
505,27.305,-31.279
506,27.282,-30.886
507,27.241,-30.493
508,27.193,-30.091
509,27.129,-29.709
510,27.059,-29.318
511,26.992,-28.929
512,26.896,-28.546
513,26.751,-28.179
514,26.577,-27.832
515,26.389,-27.488
516,26.183,-27.166
517,25.944,-26.859
518,25.685,-26.568
519,25.406,-26.299
520,25.118,-26.035
521,24.829,-25.771
522,24.533,-25.512
523,24.228,-25.263
524,23.911,-25.029
525,23.582,-24.808
526,23.257,-24.582
527,22.928,-24.354
528,22.599,-24.131
529,22.263,-23.913
530,21.935,-23.706
531,21.592,-23.499
532,21.255,-23.302
533,20.902,-23.112
534,20.547,-22.924
535,20.193,-22.735
536,19.84,-22.561
537,19.471,-22.401
538,19.104,-22.244
539,18.734,-22.09
540,18.361,-21.942
541,17.997,-21.797
542,17.625,-21.647
543,17.243,-21.5
544,16.871,-21.366
545,16.489,-21.235
546,16.105,-21.113
547,15.709,-21.032
548,15.312,-20.975
549,14.93,-20.941
550,14.534,-20.954
551,14.138,-20.944
552,13.741,-20.917
553,13.346,-20.898
554,12.951,-20.869
555,12.559,-20.833
556,12.175,-20.792
557,11.787,-20.743
558,11.397,-20.705
559,11.008,-20.68
560,10.627,-20.663
561,10.24,-20.647
562,9.855,-20.642
563,9.468,-20.641
564,9.083,-20.644
565,8.693,-20.647
566,8.304,-20.66
567,7.913,-20.681
568,7.516,-20.68
569,7.127,-20.68
570,6.74,-20.678
571,6.368,-20.672
572,5.998,-20.669
573,5.611,-20.656
574,5.229,-20.628
575,4.839,-20.6
576,4.455,-20.582
577,4.072,-20.567
578,3.679,-20.553
579,3.284,-20.542
580,2.889,-20.529
581,2.512,-20.507
582,2.119,-20.487
583,1.725,-20.467
584,1.336,-20.451
585,0.944,-20.428
586,0.56,-20.4
587,0.168,-20.353
588,-0.239,-20.295
589,-0.615,-20.248
590,-1.009,-20.202
591,-1.401,-20.154
592,-1.796,-20.11
593,-2.19,-20.064
594,-2.585,-20.022
595,-2.982,-19.989
596,-3.383,-19.958
597,-3.781,-19.915
